metodo,learning_rate,mini_batch,beta,iteracoes,tempo,funcao_objetivo_final,acuracia_treinamento,acuracia_teste
Momentum,0.1,32,0.5,300,9.41014049993828,0.0790919680951064,0.9870500972762646,0.9910019455252919
Momentum,0.1,32,0.9,300,9.617303400067613,0.06166153237498526,0.9874148832684825,0.9946498054474708
Momentum,0.1,32,0.99,72,2.42195239989087,0.09779790340118315,0.9689931906614786,0.9953793774319066
Nesterov,0.1,32,0.5,300,9.663341900100932,0.07918875255378888,0.9870500972762646,0.9910019455252919
Nesterov,0.1,32,0.9,300,9.725000099977478,0.06175942032685365,0.9874148832684825,0.9946498054474708
Nesterov,0.1,32,0.99,300,9.744379099924117,0.10254396329103299,0.9866245136186771,0.9956225680933852
