metodo,learning_rate,mini_batch,beta,iteracoes,tempo,funcao_objetivo_final,acuracia_treinamento,acuracia_teste
Steepest Descent,0.1,32,0.9,300,9.724591800011694,0.10062349085264775,0.9820038910505836,0.9861381322957199
SGD,0.1,32,0.9,25,2.056954399915412,0.06051296542721425,0.9873540856031129,0.9953793774319066
Momentum,0.1,32,0.9,300,9.158996199956164,0.06166153237498526,0.9874148832684825,0.9946498054474708
Nesterov,0.1,32,0.9,300,9.489439000142738,0.06175942032685365,0.9874148832684825,0.9946498054474708
